r u(r)
0.1 0.0530462
0.2 0.105695
0.3 0.157555
0.4 0.208244
0.5 0.257392
0.6 0.304653
0.7 0.3497
0.8 0.392233
0.9 0.431984
1 0.468717
1.1 0.502231
1.2 0.53236
1.3 0.55898
1.4 0.582001
1.5 0.601372
1.6 0.617083
1.7 0.629155
1.8 0.637648
1.9 0.642652
2 0.644288
2.1 0.642705
2.2 0.638075
2.3 0.630592
2.4 0.620464
2.5 0.607918
2.6 0.593188
2.7 0.576515
2.8 0.558145
2.9 0.538324
3 0.517294
3.1 0.495294
3.2 0.472553
3.3 0.449291
3.4 0.425717
3.5 0.402024
3.6 0.378393
3.7 0.354987
3.8 0.331955
3.9 0.309428
4 0.28752
4.1 0.26633
4.2 0.245939
4.3 0.226414
4.4 0.207806
4.5 0.190153
4.6 0.173479
4.7 0.157797
4.8 0.14311
4.9 0.12941
5 0.11668
5.1 0.104898
5.2 0.0940341
5.3 0.0840537
5.4 0.0749183
5.5 0.0665862
5.6 0.0590135
5.7 0.0521548
5.8 0.0459639
5.9 0.0403948
6 0.0354017
6.1 0.0309396
6.2 0.0269652
6.3 0.0234366
6.4 0.0203137
6.5 0.0175587
6.6 0.0151359
6.7 0.0130118
6.8 0.0111554
6.9 0.00953787
7 0.00813283
7.1 0.00691604
7.2 0.00586546
7.3 0.00496108
7.4 0.00418488
7.5 0.00352067
7.6 0.00295396
7.7 0.00247186
7.8 0.00206292
7.9 0.00171706
8 0.00142538
8.1 0.00118012
8.2 0.000974465
8.3 0.000802523
8.4 0.000659173
8.5 0.000540001
8.6 0.000441208
8.7 0.000359541
8.8 0.00029222
8.9 0.00023688
9 0.000191517
9.1 0.000154436
9.2 0.000124208
9.3 9.96355e-05
9.4 7.97155e-05
9.5 6.36116e-05
9.6 5.06286e-05
9.7 4.01905e-05
9.8 3.18213e-05
9.9 2.51294e-05
10 1.97932e-05
